Vertices;Edges;Time_ms;Iterations;MST_Weight
100;500;3,12;511;1189
200;1000;1,83;1009;2695
300;1500;1,59;1506;3812
400;2000;2,42;2012;5409
500;2500;2,32;2505;6381
600;3000;2,61;3014;7130
700;3500;3,31;3512;8399
800;4000;3,33;4013;9755
900;4500;4,36;4508;11386
1000;5000;2,93;5016;12115
1100;5500;3,49;5511;13892
1200;6000;3,41;6009;14255
1300;6500;2,93;6509;15899
1400;7000;2,59;7009;17219
1500;7500;3,83;7508;18123
1600;8000;3,38;8011;19975
1700;8500;3,83;8511;20695
1800;9000;4,30;9011;23094
1900;9500;2,82;9514;23239
1999;9995;3,71;10002;24243
2100;10500;4,65;10506;25219
2200;11000;5,38;11014;26387
2300;11500;3,73;11509;27337
2400;12000;5,39;12009;29249
2500;12500;4,30;12507;30483
2600;13000;5,23;13009;32131
2700;13500;3,27;13508;33281
2800;14000;3,67;14011;35151
2900;14500;4,38;14509;36677
3000;15000;3,56;15013;36254
3100;15500;3,94;15509;38497
3200;16000;3,86;16013;39739
3300;16500;4,71;16508;40323
3400;17000;4,33;17008;42103
3500;17500;4,72;17507;42622
3600;18000;4,54;18010;44526
3700;18500;5,92;18513;45441
3800;19000;4,68;19004;46552
3899;19495;5,14;19505;47937
4000;20000;4,97;20012;49350
4100;20500;5,66;20511;50076
4200;21000;5,63;21012;51138
4300;21500;6,16;21508;54171
4400;22000;5,49;22008;54384
4500;22500;6,90;22506;54796
4600;23000;6,69;23007;57240
4700;23500;8,15;23503;58131
4800;24000;9,13;24015;59606
4900;24500;8,61;24511;59431
5000;25000;6,69;25006;61572
5100;25500;7,12;25510;62450
5200;26000;7,31;26011;64510
5300;26500;6,86;26512;65102
5400;27000;7,61;27006;66901
5500;27500;7,21;27510;68700
5600;28000;8,76;28007;69512
5700;28500;8,10;28506;69479
5800;29000;8,55;29013;69992
5900;29500;8,35;29512;72364
5999;29995;9,03;30009;73183
6100;30500;8,93;30512;75388
6200;31000;9,19;31009;76537
6300;31500;7,90;31511;77501
6400;32000;8,13;32006;77591
6500;32500;8,78;32512;80755
6600;33000;9,84;33011;82719
6700;33500;12,56;33510;83077
6800;34000;11,04;34006;84700
6900;34500;8,80;34508;86076
7000;35000;12,69;35007;88104
7100;35500;8,90;35512;88374
7200;36000;11,50;36011;89345
7300;36500;10,37;36512;90275
7400;37000;8,30;37014;92073
7500;37500;8,91;37510;90845
7600;38000;9,15;38007;94080
7699;38495;9,14;38501;95018
7800;39000;11,11;39007;96331
7900;39500;9,47;39506;96909
8000;40000;13,98;40012;98587
8100;40500;11,00;40511;99567
8200;41000;10,49;41010;100449
8300;41500;10,85;41506;101135
8400;42000;11,27;42014;103910
8500;42500;11,65;42508;102492
8600;43000;12,03;43006;105392
8700;43500;11,37;43513;108123
8800;44000;10,90;44003;109392
8900;44500;11,75;44506;109353
9000;45000;13,09;45007;112671
9100;45500;21,05;45507;112403
9200;46000;19,86;46008;115934
9300;46500;17,56;46511;115056
9400;47000;11,98;47007;115561
9500;47500;13,64;47507;117463
9600;48000;13,60;48011;120110
9700;48500;12,44;48511;120584
9800;49000;15,25;49010;119995
9900;49500;13,30;49505;122807
10000;50000;13,38;50009;122321
